,Show,Season,Rating
1970,The Mary Tyler Moore Show,5,7.8
1971,The Mary Tyler Moore Show,6,8.1
1972,The Mary Tyler Moore Show,6,7.9
1973,The Mary Tyler Moore Show,6,7.5
1974,The Mary Tyler Moore Show,6,7.4
1975,The Mary Tyler Moore Show,6,8.1
1976,The Mary Tyler Moore Show,6,8.1
1977,The Mary Tyler Moore Show,6,9.4
1978,The Mary Tyler Moore Show,6,8.3
1979,The Mary Tyler Moore Show,6,8.6
1980,The Mary Tyler Moore Show,6,7.7
1981,The Mary Tyler Moore Show,6,7.2
1982,The Mary Tyler Moore Show,6,7.7
1983,The Mary Tyler Moore Show,6,8.3
1984,The Mary Tyler Moore Show,6,7.0
1985,The Mary Tyler Moore Show,6,7.9
1986,The Mary Tyler Moore Show,6,7.8
1987,The Mary Tyler Moore Show,6,8.4
1988,The Mary Tyler Moore Show,6,8.8
1989,The Mary Tyler Moore Show,6,7.7
1990,The Mary Tyler Moore Show,6,8.0
1991,The Mary Tyler Moore Show,6,7.9
1992,The Mary Tyler Moore Show,6,8.0
1993,The Mary Tyler Moore Show,6,8.5
1994,The Mary Tyler Moore Show,6,8.0
1995,The Mary Tyler Moore Show,7,9.0
1996,The Mary Tyler Moore Show,7,7.9
1997,The Mary Tyler Moore Show,7,8.5
1998,The Mary Tyler Moore Show,7,7.6
1999,The Mary Tyler Moore Show,7,8.4
2000,The Mary Tyler Moore Show,7,8.0
2001,The Mary Tyler Moore Show,7,7.6
2002,The Mary Tyler Moore Show,7,8.1
2003,The Mary Tyler Moore Show,7,7.9
2004,The Mary Tyler Moore Show,7,8.3
2005,The Mary Tyler Moore Show,7,8.4
2006,The Mary Tyler Moore Show,7,8.2
2007,The Mary Tyler Moore Show,7,8.0
2008,The Mary Tyler Moore Show,7,8.7
2009,The Mary Tyler Moore Show,7,7.6
2010,The Mary Tyler Moore Show,7,8.2
2011,The Mary Tyler Moore Show,7,8.8
2012,The Mary Tyler Moore Show,7,8.0
2013,The Mary Tyler Moore Show,7,8.0
2014,The Mary Tyler Moore Show,7,8.3
